valence,magnitude,difficulty,n_iti
gain,0,low,1
loss,1,low,2
gain,1,low,2
gain,5,high,1
gain,5,low,2
gain,1,low,2
gain,5,low,2
loss,5,medium,2
gain,1,high,1
loss,0,low,2
gain,5,medium,1
gain,0,medium,2
gain,0,medium,2
loss,5,high,1
loss,1,low,2
loss,0,medium,2
loss,5,low,1
loss,5,medium,2
gain,5,medium,1
loss,1,high,1
loss,1,medium,2
gain,5,medium,2
gain,1,medium,2
gain,5,high,1
loss,0,high,2
gain,5,low,1
loss,5,high,2
loss,1,high,2
loss,0,high,1
gain,1,low,1
loss,0,high,1
loss,1,medium,1
gain,1,medium,1
gain,1,high,1
loss,5,low,2
gain,0,low,2
loss,0,low,2
loss,1,high,2
gain,0,low,2
loss,5,low,1
gain,0,high,2
gain,1,medium,1
gain,5,high,1
loss,1,medium,2
loss,0,medium,1
loss,0,low,2
loss,0,medium,2
gain,0,high,1
gain,1,high,2
gain,0,medium,2
loss,5,medium,2
loss,5,high,2
loss,1,low,2
gain,0,high,1
